"uniName","courseName","degreeName","courseUrlExternal","md_file","study_level","expectedFromMd","stage1_output","stage2_output","output_json","course.md","normalized.json","output.json","stage1_parsed.json","parser_hints.json","extraction_warnings.json","entry_requirement_parsed.json","english_requirements_parsed.json","scholarship_parsed.json"
"University of Essex","BA (Hons)  Latin American Studies with Human Rights","BA","https://www.essex.ac.uk/courses/UG00234/1/BA-Latin-American-Studies-with-Human-Rights","undergraduate/ug00234-1-ba-latin-american-studies-with-human-rights.md","undergraduate","{
  ""courseName"": ""BA (Hons)  Latin American Studies with Human Rights"",
  ""courseUrlExternal"": ""https://www.essex.ac.uk/courses/UG00234/1/BA-Latin-American-Studies-with-Human-Rights"",
  ""degreeName"": ""BA"",
  ""level"": """",
  ""studyMode"": """",
  ""award"": """",
  ""intakeInfo"": ""October 2026"",
  ""courseDuration"": ""4 years"",
  ""tuitionFee"": """",
  ""currency"": """",
  ""ieltsMinOverall"": """",
  ""ieltsMinSection"": """"
}","","","","undergraduate/ug00234-1-ba-latin-american-studies-with-human-rights.md","","","","","","","",""
"University of Essex","BA (Hons)  Liberal Arts","BA","https://www.essex.ac.uk/courses/UG00239/1/BA-Liberal-Arts","undergraduate/ug00239-1-ba-liberal-arts.md","undergraduate","{
  ""courseName"": ""BA (Hons)  Liberal Arts"",
  ""courseUrlExternal"": ""https://www.essex.ac.uk/courses/UG00239/1/BA-Liberal-Arts"",
  ""degreeName"": ""BA"",
  ""level"": """",
  ""studyMode"": """",
  ""award"": """",
  ""intakeInfo"": ""October 2026"",
  ""courseDuration"": ""3 years"",
  ""tuitionFee"": """",
  ""currency"": """",
  ""ieltsMinOverall"": """",
  ""ieltsMinSection"": """"
}","","","","undergraduate/ug00239-1-ba-liberal-arts.md","","","","","","","",""
"University of Essex","BA (Hons)  Linguistics","BA","https://www.essex.ac.uk/courses/UG00241/1/BA-Linguistics","undergraduate/ug00241-1-ba-linguistics.md","undergraduate","{
  ""courseName"": ""BA (Hons)  Linguistics"",
  ""courseUrlExternal"": ""https://www.essex.ac.uk/courses/UG00241/1/BA-Linguistics"",
  ""degreeName"": ""BA"",
  ""level"": """",
  ""studyMode"": """",
  ""award"": """",
  ""intakeInfo"": ""October 2026"",
  ""courseDuration"": ""3 years"",
  ""tuitionFee"": """",
  ""currency"": """",
  ""ieltsMinOverall"": """",
  ""ieltsMinSection"": """"
}","","","","undergraduate/ug00241-1-ba-linguistics.md","","","","","","","",""
"University of Essex","Integrated Master in Literature: Literature","","https://www.essex.ac.uk/courses/UG00247/1/Integrated-Master-in-Literature-Literature","undergraduate/ug00247-1-integrated-master-in-literature-literature.md","undergraduate","{
  ""courseName"": ""Integrated Master in Literature: Literature"",
  ""courseUrlExternal"": ""https://www.essex.ac.uk/courses/UG00247/1/Integrated-Master-in-Literature-Literature"",
  ""degreeName"": """",
  ""level"": """",
  ""studyMode"": """",
  ""award"": """",
  ""intakeInfo"": ""October 2026"",
  ""courseDuration"": ""4 years"",
  ""tuitionFee"": """",
  ""currency"": """",
  ""ieltsMinOverall"": """",
  ""ieltsMinSection"": """"
}","","","","undergraduate/ug00247-1-integrated-master-in-literature-literature.md","","","","","","","",""
"University of Essex","BSc (Hons)  Marketing Management","BSc","https://www.essex.ac.uk/courses/UG00256/1/BSc-Marketing-Management","undergraduate/ug00256-1-bsc-marketing-management.md","undergraduate","{
  ""courseName"": ""BSc (Hons)  Marketing Management"",
  ""courseUrlExternal"": ""https://www.essex.ac.uk/courses/UG00256/1/BSc-Marketing-Management"",
  ""degreeName"": ""BSc"",
  ""level"": """",
  ""studyMode"": """",
  ""award"": """",
  ""intakeInfo"": ""October 2026"",
  ""courseDuration"": ""3 years"",
  ""tuitionFee"": """",
  ""currency"": """",
  ""ieltsMinOverall"": """",
  ""ieltsMinSection"": """"
}","","","","undergraduate/ug00256-1-bsc-marketing-management.md","","","","","","","",""
"University of Essex","BA (Hons)  Management Economics","BA","https://www.essex.ac.uk/courses/UG00258/1/BA-Management-Economics","undergraduate/ug00258-1-ba-management-economics.md","undergraduate","{
  ""courseName"": ""BA (Hons)  Management Economics"",
  ""courseUrlExternal"": ""https://www.essex.ac.uk/courses/UG00258/1/BA-Management-Economics"",
  ""degreeName"": ""BA"",
  ""level"": """",
  ""studyMode"": """",
  ""award"": """",
  ""intakeInfo"": ""October 2026"",
  ""courseDuration"": ""3 years"",
  ""tuitionFee"": """",
  ""currency"": """",
  ""ieltsMinOverall"": """",
  ""ieltsMinSection"": """"
}","","","","undergraduate/ug00258-1-ba-management-economics.md","","","","","","","",""
"University of Essex","BSc (Hons)  Management Economics","BSc","https://www.essex.ac.uk/courses/UG00258/3/BSc-Management-Economics","undergraduate/ug00258-3-bsc-management-economics.md","undergraduate","{
  ""courseName"": ""BSc (Hons)  Management Economics"",
  ""courseUrlExternal"": ""https://www.essex.ac.uk/courses/UG00258/3/BSc-Management-Economics"",
  ""degreeName"": ""BSc"",
  ""level"": """",
  ""studyMode"": """",
  ""award"": """",
  ""intakeInfo"": ""October 2026"",
  ""courseDuration"": ""3 years"",
  ""tuitionFee"": """",
  ""currency"": """",
  ""ieltsMinOverall"": """",
  ""ieltsMinSection"": """"
}","","","","undergraduate/ug00258-3-bsc-management-economics.md","","","","","","","",""
"University of Essex","BSc (Hons)  Marine Biology","BSc","https://www.essex.ac.uk/courses/UG00263/1/BSc-Marine-Biology","undergraduate/ug00263-1-bsc-marine-biology.md","undergraduate","{
  ""courseName"": ""BSc (Hons)  Marine Biology"",
  ""courseUrlExternal"": ""https://www.essex.ac.uk/courses/UG00263/1/BSc-Marine-Biology"",
  ""degreeName"": ""BSc"",
  ""level"": """",
  ""studyMode"": """",
  ""award"": """",
  ""intakeInfo"": ""October 2026"",
  ""courseDuration"": ""3 years"",
  ""tuitionFee"": """",
  ""currency"": """",
  ""ieltsMinOverall"": """",
  ""ieltsMinSection"": """"
}","","","","undergraduate/ug00263-1-bsc-marine-biology.md","","","","","","","",""
"University of Essex","BSc (Hons)  Marketing","BSc","https://www.essex.ac.uk/courses/UG00264/1/BSc-Marketing","undergraduate/ug00264-1-bsc-marketing.md","undergraduate","{
  ""courseName"": ""BSc (Hons)  Marketing"",
  ""courseUrlExternal"": ""https://www.essex.ac.uk/courses/UG00264/1/BSc-Marketing"",
  ""degreeName"": ""BSc"",
  ""level"": """",
  ""studyMode"": """",
  ""award"": """",
  ""intakeInfo"": ""October 2026"",
  ""courseDuration"": ""3 years"",
  ""tuitionFee"": """",
  ""currency"": """",
  ""ieltsMinOverall"": """",
  ""ieltsMinSection"": """"
}","","","","undergraduate/ug00264-1-bsc-marketing.md","","","","","","","",""
"University of Essex","BSc (Hons)  Mathematics","BSc","https://www.essex.ac.uk/courses/UG00269/1/BSc-Mathematics","undergraduate/ug00269-1-bsc-mathematics.md","undergraduate","{
  ""courseName"": ""BSc (Hons)  Mathematics"",
  ""courseUrlExternal"": ""https://www.essex.ac.uk/courses/UG00269/1/BSc-Mathematics"",
  ""degreeName"": ""BSc"",
  ""level"": """",
  ""studyMode"": """",
  ""award"": """",
  ""intakeInfo"": ""October 2026"",
  ""courseDuration"": ""3 years"",
  ""tuitionFee"": """",
  ""currency"": """",
  ""ieltsMinOverall"": """",
  ""ieltsMinSection"": """"
}","","","","undergraduate/ug00269-1-bsc-mathematics.md","","","","","","","",""
